accuracy,avgTime,skipRate,difficulty
0.95,4,0.01,easy
0.92,5,0.02,easy
0.90,6,0.03,easy
0.88,7,0.05,easy
0.85,8,0.07,easy
0.82,9,0.10,easy
0.80,10,0.12,easy
0.78,11,0.15,medium
0.75,12,0.18,medium
0.72,14,0.20,medium
0.70,15,0.22,medium
0.68,16,0.25,medium
0.65,18,0.28,medium
0.62,20,0.30,medium
0.60,21,0.32,medium
0.58,22,0.35,medium
0.55,24,0.38,medium
0.52,26,0.40,hard
0.50,28,0.42,hard
0.48,30,0.45,hard
0.45,32,0.48,hard
0.42,34,0.50,hard
0.40,36,0.52,hard
0.38,38,0.55,hard
0.35,40,0.58,hard
0.32,42,0.60,hard
0.30,45,0.65,hard
0.28,48,0.68,hard
0.25,50,0.70,hard
0.20,55,0.75,hard
